Layer,6,8,10,12,14
lMag,42.5,50,57.5,65,72.5
rMag,20,20,20,20,20
lCore,8,8,8,8,8
lWireVessel,23.75,23.75,23.75,23.75,23.75
rShellIn,39.5,45.5,51.5,57.5,63.5
lWireTotal,9.55044166691297,13.9277274309148,18.9019157990986,24.4730067714645,30.6410003480124
resTotal,0.219653179190751,0.320327552986513,0.434730250481696,0.562861271676301,0.704720616570328
RG,13.5394780887535,16.3527735578574,18.81707859696,21.0095004090242,22.9841150599307
RM,35.5114466773792,41.7781725616225,48.0448984458659,54.3116243301093,60.5783502143527
B,0.669425232628964,0.570724997746691,0.500034654944939,0.446532701928252,0.40441252724272
I,8.35835085884145,6.72262642198067,5.6537969036976,4.88996253406328,4.31239558065736
V,1.83593833893627,2.15344247139554,2.45787654411709,2.75237053037233,3.03903407249601
Pin,15.345416792028,14.476789256419,13.8963347948002,13.4589887733806,13.105517103699
Q,0.263615228443217,0.248426033385426,0.238275956766552,0.230628335945466,0.224447378149288
Pressure,15386.6936537737,21146.0239617674,27525.6385256721,34494.6189506915,42030.9138217482
Q,0.263615228443217,0.248426033385426,0.238275956766552,0.230628335945466,0.224447378149288
Pin,15.345416792028,14.476789256419,13.8963347948002,13.4589887733806,13.105517103699
massTotal,1.50338063989825,1.92653194729403,2.39763116493119,2.91667829280972,3.48367333092963
Pin*massTotal,23.0700025163043,27.8899969967342,33.3182853823306,39.2555403984888,45.6553404221982
I,8.35835085884145,6.72262642198067,5.6537969036976,4.88996253406328,4.31239558065736
V,1.83593833893627,2.15344247139554,2.45787654411709,2.75237053037233,3.03903407249601
Pressure,15.3866936537737,21.1460239617674,27.5256385256721,34.4946189506915,42.0309138217482
rWireIn,1,1,1,1,1
thickWireWall,0.5,0.5,0.5,0.5,0.5
massTotal,1.50338063989825,1.92653194729403,2.39763116493119,2.91667829280972,3.48367333092963
