Set,Incremental Mass Balanced (g),Total Mass Balanced (g),Total Force (N),Voltage (V),Current (A),Power (W),Force increment (N),Current increment (A),Incremental Efficiency (N/A)
1,335.22,335.22,3.29,1.57,3.30,5.18,3.29,3.30,1.00
2,81.53,416.75,4.09,1.96,4.10,8.04,0.80,0.80,1.00
3,81.11,497.86,4.88,2.36,5.00,11.80,0.80,0.90,0.88
4,81.32,579.18,5.68,2.72,5.70,15.50,0.80,0.70,1.14
5,81.12,660.30,6.48,3.05,6.60,20.13,0.80,0.90,0.88
6,81.65,741.95,7.28,3.45,7.60,26.22,0.80,1.00,0.80
7,81.19,823.14,8.07,3.68,8.30,30.54,0.80,0.70,1.14
8,81.43,904.57,8.87,4.07,9.30,37.85,0.80,1.00,0.80
9,80.65,985.22,9.66,4.35,9.90,43.07,0.79,0.60,1.32
,,,,,,,,,
,Average efficiency ex. Bobbin,1.00,NA^-1,,,,,,
,Average efficiency ex. Bobbin & last,0.95,NA^-1,,,,,,
,Mass of bobbin & fixed cup,335.22,g,,,,,,
,Current required for 9 N,8.75,A,,,,,,
,Theoratical current for 9 N,8.50,A,,,,,,
